xmin,ymin,xmax,ymax,zloc
712,143,810,307,8
599,156,629,189,69
387,181,423,203,58
676,163,688,193,45
804,167,995,327,8
657,190,700,223,34
614,181,727,284,13
280,185,344,215,38
365,184,406,205,51
330,178,360,238,23
548,171,572,194,48
505,168,575,209,31
49,185,227,246,19
328,170,397,204,38
564,174,616,224,25
481,180,512,202,47
542,175,565,193,60
330,176,355,213,34
0,192,402,374,3
937,197,1241,374,6
597,176,720,261,14
741,168,792,208,33
884,178,956,240,19
601,177,659,229,23
600,177,624,193,66
574,178,598,194,68
1013,182,1241,374,5
354,185,549,294,11
859,159,879,221,23
819,178,926,251,16
800,178,878,230,22
558,179,635,230,23
598,178,652,218,29
663,175,707,204,42
883,144,937,259,12
873,152,933,256,13
444,171,504,225,26
0,217,85,374,4
240,190,268,261,15
662,185,690,205,58
455,183,533,241,20
626,176,654,194,59
0,194,414,373,4
1021,133,1101,316,7
672,171,690,224,24
537,168,560,224,23
125,91,474,253,26
684,172,733,205,33
0,193,386,374,6
494,181,527,205,46
587,158,648,188,90
728,173,791,200,47
523,194,550,219,47
572,185,606,219,47
387,166,473,213,59
0,0,424,374,5
742,184,944,321,9
639,169,683,212,35
551,184,575,204,59
685,181,804,258,15
1056,190,1241,374,3
359,179,516,270,13
444,163,559,247,17
870,115,1101,213,21
724,171,790,215,25
534,166,596,216,26
709,162,765,205,32
562,166,605,206,31
128,199,218,237,31
60,198,159,238,31
372,182,412,205,55
677,164,690,195,44
443,168,480,195,38
427,165,455,185,52
896,218,1241,374,3
351,183,537,308,10
562,173,618,217,30
724,178,805,249,17
650,175,659,205,44
720,187,779,236,22
633,155,704,211,37
555,174,576,191,68
16,117,314,314,12
590,181,607,194,73
147,156,205,309,8
490,174,542,227,23
652,174,690,204,41
559,178,588,204,41
785,179,1028,340,8
711,179,848,277,13
445,131,539,228,22
660,178,713,222,26
178,189,435,344,9
776,182,1014,335,8
340,150,489,274,14
711,180,863,273,13
709,176,777,234,19
119,141,368,230,22
725,164,806,219,25
780,147,917,199,39
494,173,531,199,44
582,175,601,189,64
0,189,234,322,10
466,184,522,207,49
425,176,529,259,16
234,185,320,231,27
665,160,717,217,22
423,173,433,224,23
553,178,693,311,10
341,194,390,218,46
286,196,337,220,44
960,183,1104,229,26
1154,178,1241,222,26
555,173,628,240,19
27,0,512,375,10
473,183,535,226,24
592,176,637,219,28
895,158,1241,374,6
817,176,1038,302,10
749,177,940,262,14
489,180,521,201,50
682,173,796,220,24
659,174,745,209,31
640,167,707,198,46
434,175,472,199,52
456,177,487,197,58
412,177,437,195,59
114,193,466,374,7
533,177,574,212,33
653,180,702,220,29
561,178,585,201,48
639,175,667,200,49
474,179,516,210,35
691,168,700,198,42
439,178,508,205,41
576,174,604,202,44
390,163,450,196,94
471,174,502,266,12
684,161,711,230,20
719,160,745,229,20
0,203,365,374,5
378,183,507,276,13
75,192,273,277,15
694,152,734,188,79
269,176,375,242,21
455,181,500,209,41
480,181,517,205,46
578,176,625,221,26
597,168,634,207,35
660,171,703,210,32
572,171,624,218,26
0,190,171,313,10
214,165,423,292,12
296,182,393,231,23
481,153,537,207,36
522,176,552,202,47
193,181,294,229,25
659,160,687,236,16
680,157,711,236,17
600,162,622,206,30
595,177,657,227,21
305,179,494,263,13
435,173,537,218,24
473,171,556,203,32
515,156,585,193,45
984,188,1128,374,4
823,189,1083,327,9
753,185,885,263,14
719,169,816,238,20
693,173,709,209,32
0,178,252,280,12
194,174,341,241,17
603,171,639,204,35
287,175,379,228,21
881,155,1040,215,32
0,170,111,240,17
262,182,469,318,9
910,159,1241,374,2
641,172,681,206,31
683,153,724,183,65
919,155,967,230,17
713,174,744,204,39
710,180,802,243,19
624,177,695,239,21
309,179,406,219,32
383,166,639,310,12
245,199,378,265,17
865,0,1241,374,2
173,180,429,359,8
707,185,834,271,14
444,180,519,231,20
499,171,546,212,28
526,173,563,203,38
569,125,642,214,34
31,193,129,230,32
104,188,188,220,36
183,187,245,217,42
227,189,281,211,47
0,224,199,374,1
514,193,563,231,30
572,176,591,196,76
410,163,498,327,7
509,180,543,205,41
969,195,1100,246,21
1129,194,1241,249,23
