                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5098,                 1.7245,                 1.1323,                0.50094,                0.29044,                0.33225,                0.18688,                 1.3682,                 1.1718,                 1.0873,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.4175,                 1.2493,                 1.0954,                 0.3831,                 0.3731,                0.36476,                0.20863,                  1.367,                 1.1065,                  1.108,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.4307,                 1.1892,                 1.1085,                0.44308,                0.38149,                0.39415,                0.22788,                 1.3757,                 1.0279,                 1.1049,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.4249,                 1.1203,                 1.1089,                0.49506,                  0.421,                 0.4412,                 0.2475,                 1.3069,                0.98334,                 1.0898,               0.009703,               0.009703,               0.009703
                      5,                 1.3715,                 1.0272,                 1.0923,                0.62286,                0.39141,                0.44785,                0.25695,                 1.2881,                 0.9296,                 1.0869,               0.009604,               0.009604,               0.009604
                      6,                 1.3291,                 0.9655,                 1.0794,                0.56873,                0.43754,                0.47565,                0.27426,                 1.2353,                0.89404,                 1.0682,               0.009505,               0.009505,               0.009505
                      7,                 1.3131,                0.93227,                 1.0702,                0.54914,                0.44916,                0.48495,                0.28309,                 1.2312,                0.86253,                 1.0647,               0.009406,               0.009406,               0.009406
                      8,                 1.2816,                0.89669,                  1.059,                 0.5892,                 0.4638,                0.51965,                0.30657,                 1.2068,                0.84772,                 1.0599,               0.009307,               0.009307,               0.009307
                      9,                   1.26,                0.86797,                 1.0515,                0.58452,                 0.4777,                  0.539,                0.31722,                 1.2032,                0.83097,                 1.0607,               0.009208,               0.009208,               0.009208
                     10,                 1.2468,                0.85329,                 1.0474,                0.59313,                0.51286,                0.55835,                0.31591,                 1.1923,                0.81248,                 1.0558,               0.009109,               0.009109,               0.009109
                     11,                 1.2258,                0.83697,                 1.0383,                0.67764,                 0.5037,                0.56833,                0.33773,                 1.1579,                0.80789,                 1.0423,                0.00901,                0.00901,                0.00901
                     12,                 1.2173,                0.82258,                 1.0335,                 0.6586,                0.47199,                0.55992,                0.33937,                 1.1367,                0.78229,                 1.0398,               0.008911,               0.008911,               0.008911
                     13,                  1.195,                0.80762,                  1.026,                0.70026,                0.50497,                0.56392,                0.33952,                 1.1405,                0.77665,                 1.0286,               0.008812,               0.008812,               0.008812
