                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4971,                 1.6764,                 1.1601,                0.44256,                0.34438,                0.35174,                0.19212,                 1.3879,                 1.1258,                 1.1649,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.4206,                 1.2268,                 1.1261,                0.42246,                 0.3885,                 0.3843,                0.21454,                 1.3359,                 1.0293,                 1.1474,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.4369,                 1.1714,                 1.1412,                0.42035,                0.40919,                0.40208,                0.21726,                  1.423,                   1.05,                 1.2002,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.4369,                 1.1153,                 1.1487,                0.50242,                0.37014,                0.41751,                0.22949,                 1.3264,                0.96202,                 1.1608,               0.009703,               0.009703,               0.009703
                      5,                 1.3827,                 1.0221,                 1.1297,                0.55288,                0.39994,                0.45117,                0.25219,                 1.3085,                0.93567,                 1.1521,               0.009604,               0.009604,               0.009604
                      6,                 1.3431,                0.96276,                 1.1194,                0.54652,                0.40637,                0.46366,                0.26318,                 1.2485,                 0.8991,                 1.1291,               0.009505,               0.009505,               0.009505
                      7,                 1.3233,                0.93106,                 1.1115,                0.49059,                0.45651,                0.46663,                0.27338,                 1.2504,                0.86283,                 1.1377,               0.009406,               0.009406,               0.009406
                      8,                 1.2988,                0.89497,                 1.1004,                0.64717,                0.43346,                0.52728,                0.30348,                 1.2187,                0.84058,                 1.1156,               0.009307,               0.009307,               0.009307
                      9,                 1.2759,                0.87055,                 1.0922,                0.64229,                0.46478,                0.54193,                0.31349,                 1.2264,                0.82777,                  1.115,               0.009208,               0.009208,               0.009208
                     10,                 1.2596,                0.85652,                  1.088,                0.56183,                0.51931,                0.55086,                  0.318,                  1.191,                0.80423,                 1.1086,               0.009109,               0.009109,               0.009109
                     11,                 1.2366,                0.83513,                 1.0766,                0.53663,                0.52253,                0.54606,                 0.3257,                  1.171,                0.78868,                 1.0876,                0.00901,                0.00901,                0.00901
                     12,                 1.2313,                0.82378,                 1.0709,                0.59256,                0.50158,                0.54254,                0.31579,                 1.1681,                0.78328,                 1.0939,               0.008911,               0.008911,               0.008911
                     13,                 1.2126,                0.80485,                 1.0674,                0.58556,                0.52179,                0.55187,                0.31859,                 1.1674,                0.78387,                 1.0945,               0.008812,               0.008812,               0.008812
                     14,                 1.2014,                0.79365,                 1.0644,                0.57761,                0.55499,                0.57178,                0.33291,                 1.1655,                0.75905,                 1.0904,               0.008713,               0.008713,               0.008713
                     15,                 1.1955,                0.78427,                 1.0588,                0.62826,                0.53069,                0.57869,                0.34727,                 1.1309,                  0.738,                 1.0758,               0.008614,               0.008614,               0.008614
                     16,                 1.1826,                0.77583,                 1.0544,                0.67035,                0.51393,                0.58243,                0.34959,                  1.133,                 0.7442,                  1.074,               0.008515,               0.008515,               0.008515
                     17,                 1.1717,                 0.7623,                  1.048,                 0.6305,                0.55774,                0.60633,                0.37002,                 1.1292,                0.73605,                  1.072,               0.008416,               0.008416,               0.008416
                     18,                 1.1631,                0.75968,                 1.0484,                0.66437,                0.56888,                0.61851,                0.37149,                  1.115,                0.71421,                 1.0627,               0.008317,               0.008317,               0.008317
                     19,                 1.1602,                0.75195,                 1.0452,                0.63475,                0.58242,                0.62303,                0.37042,                 1.1052,                0.70191,                 1.0599,               0.008218,               0.008218,               0.008218
                     20,                  1.147,                0.74068,                  1.041,                0.62633,                 0.5847,                0.62072,                0.37842,                  1.082,                0.69888,                 1.0515,               0.008119,               0.008119,               0.008119
                     21,                 1.1423,                0.73195,                 1.0371,                0.65607,                0.57957,                0.61923,                0.37981,                 1.0805,                0.68708,                 1.0522,                0.00802,                0.00802,                0.00802
                     22,                 1.1231,                0.71751,                 1.0302,                0.67007,                0.56973,                0.62338,                0.38629,                 1.0811,                 0.6908,                 1.0534,               0.007921,               0.007921,               0.007921
                     23,                  1.129,                0.71987,                 1.0324,                0.65035,                0.60227,                0.65229,                0.39422,                 1.0841,                0.68178,                 1.0483,               0.007822,               0.007822,               0.007822
                     24,                 1.1172,                0.70987,                 1.0271,                0.68772,                0.59376,                0.65266,                0.40385,                   1.07,                0.67886,                 1.0426,               0.007723,               0.007723,               0.007723
                     25,                 1.1184,                0.71309,                 1.0266,                0.65059,                0.58794,                0.64171,                0.39701,                 1.0509,                 0.6722,                 1.0384,               0.007624,               0.007624,               0.007624
                     26,                 1.1087,                 0.7073,                 1.0217,                0.72225,                0.59547,                0.66063,                0.40392,                 1.0616,                0.65754,                 1.0378,               0.007525,               0.007525,               0.007525
                     27,                 1.0968,                0.69433,                 1.0212,                0.67515,                0.60092,                0.65104,                0.39749,                 1.0605,                0.66908,                 1.0401,               0.007426,               0.007426,               0.007426
                     28,                 1.0969,                0.69608,                 1.0187,                0.68552,                0.63181,                0.66956,                0.40931,                 1.0403,                0.65221,                 1.0391,               0.007327,               0.007327,               0.007327
                     29,                 1.0905,                0.69208,                 1.0203,                0.71115,                0.61026,                0.66359,                0.41269,                 1.0399,                0.64506,                 1.0316,               0.007228,               0.007228,               0.007228
                     30,                 1.0838,                0.68656,                  1.014,                0.69324,                 0.6108,                0.66005,                0.41492,                 1.0362,                0.63883,                 1.0327,               0.007129,               0.007129,               0.007129
                     31,                 1.0681,                0.67253,                 1.0059,                0.68665,                0.61799,                0.66008,                0.40781,                 1.0301,                0.63588,                 1.0319,                0.00703,                0.00703,                0.00703
                     32,                 1.0714,                0.67525,                 1.0087,                0.67717,                0.60973,                0.67095,                0.42218,                 1.0296,                0.63385,                  1.027,               0.006931,               0.006931,               0.006931
                     33,                  1.066,                0.67298,                 1.0043,                0.69367,                0.64055,                0.68286,                  0.428,                 1.0214,                0.62886,                 1.0249,               0.006832,               0.006832,               0.006832
                     34,                 1.0613,                0.66833,                 1.0055,                0.71359,                0.62607,                0.67944,                0.42898,                 1.0128,                0.62403,                 1.0158,               0.006733,               0.006733,               0.006733
                     35,                 1.0547,                0.66044,                 1.0033,                0.72291,                0.61433,                 0.6895,                0.43598,                0.99807,                0.61324,                 1.0199,               0.006634,               0.006634,               0.006634
                     36,                 1.0529,                0.65893,                 1.0026,                0.69027,                0.64131,                0.68332,                0.44142,                0.99934,                0.61458,                 1.0195,               0.006535,               0.006535,               0.006535
                     37,                 1.0457,                 0.6553,                 1.0006,                0.69677,                0.65281,                0.69666,                0.44274,                0.99875,                0.61341,                 1.0154,               0.006436,               0.006436,               0.006436
                     38,                 1.0437,                0.65401,                0.99721,                0.74194,                0.62389,                0.68686,                0.43835,                0.98465,                0.60718,                 1.0096,               0.006337,               0.006337,               0.006337
                     39,                 1.0362,                0.64663,                0.99981,                0.69548,                0.65899,                0.69629,                0.45365,                0.97776,                0.59725,                 1.0078,               0.006238,               0.006238,               0.006238
                     40,                 1.0347,                0.64103,                0.99476,                0.69212,                0.65627,                0.69831,                  0.449,                0.98605,                0.59562,                 1.0067,               0.006139,               0.006139,               0.006139
                     41,                 1.0305,                0.63953,                0.99207,                0.72441,                0.61992,                0.69035,                0.44439,                0.98122,                0.59926,                 1.0031,                0.00604,                0.00604,                0.00604
                     42,                 1.0227,                0.63487,                0.99094,                0.72211,                0.64728,                0.69912,                0.44875,                0.97248,                0.59618,                 1.0021,               0.005941,               0.005941,               0.005941
